wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|Because you will know that I will be very very upset if you do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01585230_01589880.wav|strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01584870_01589880.wav|high as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01584390_01589880.wav|reach as high as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01582710_01589880.wav|or potentially more to reach as high as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01583370_01589880.wav|more to reach as high as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01585110_01589880.wav|as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01586040_01589880.wav|The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01584720_01589880.wav|as high as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01582050_01589880.wav|years or potentially more to reach as high as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01582860_01589880.wav|potentially more to reach as high as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01584180_01589880.wav|to reach as high as strength.  The concrete just keeps getting harder and harder and harder as it cures.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01599630_01606020.wav|its strongest after about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01600470_01606020.wav|strongest after about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01601820_01606020.wav|about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01599270_01606020.wav|will be its strongest after about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01598400_01606020.wav|concrete will be its strongest after about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01598220_01606020.wav|out of concrete will be its strongest after about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01599630_01606020.wav|be its strongest after about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01598220_01606020.wav|of concrete will be its strongest after about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01601070_01606020.wav|after about 50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01602210_01606020.wav|50 years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01602510_01606020.wav|years.  And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01603710_01606020.wav|And infinity now it's about 40 years old.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01606500_01613730.wav|We have a little bit to go and Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01605750_01613730.wav|old.  We have a little bit to go and Yeah.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01614000_01619970.wav|Now infinity a while with the thing with concrete is that a lot depends on on how well it was built.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01613040_01619970.wav|Yeah.  Now infinity a while with the thing with concrete is that a lot depends on on how well it was built.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01619430_01624830.wav|was built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01619010_01624830.wav|how well it was built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01619430_01624830.wav|it was built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01620270_01624830.wav|And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01618140_01624830.wav|depends on on how well it was built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01619700_01624830.wav|built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01618590_01624830.wav|on on how well it was built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01617630_01624830.wav|lot depends on on how well it was built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01618590_01624830.wav|on how well it was built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01619190_01624830.wav|well it was built.  And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01621830_01627680.wav|because everything is enclosed in the in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01621470_01627680.wav|to tell because everything is enclosed in the in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01622460_01627680.wav|is enclosed in the in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01620810_01627680.wav|kind of difficult to tell because everything is enclosed in the in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01620270_01627680.wav|And it's kind of difficult to tell because everything is enclosed in the in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01623180_01628910.wav|the in the concrete itself. Yeah, come in Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01622460_01628910.wav|is enclosed in the in the concrete itself. Yeah, come in Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01622100_01628910.wav|everything is enclosed in the in the concrete itself. Yeah, come in Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01624260_01628910.wav|itself. Yeah, come in Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01621830_01628910.wav|because everything is enclosed in the in the concrete itself. Yeah, come in Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01621020_01628910.wav|of difficult to tell because everything is enclosed in the in the concrete itself. Yeah, come in Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01623840_01627680.wav|concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01621560_01627680.wav|tell because everything is enclosed in the in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01623570_01628910.wav|in the concrete itself. Yeah, come in Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01627320_01628910.wav|Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01622580_01628910.wav|enclosed in the in the concrete itself. Yeah, come in Ben.  I'll just repeat that.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01624260_01627680.wav|itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01623570_01627680.wav|the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01623570_01627680.wav|in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01626420_01627680.wav|Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01620660_01627680.wav|it's kind of difficult to tell because everything is enclosed in the in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01621080_01627680.wav|difficult to tell because everything is enclosed in the in the concrete itself.  Yeah, come in Ben.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01621020_01627680.wav|of difficult to tell because everything is enclosed in the in the concrete itself.  Yeah, come in Ben.
